quarter,product,type,geo,end_market,plan_revenue,actual_revenue
2024-Q4,LC,Instruments,US,Pharma,9966800,9209900
2024-Q4,LC,Instruments,US,Industrial,4181000,3868800
2024-Q4,LC,Instruments,US,Academic & Government,4016200,4197700
2024-Q4,LC,Instruments,China,Pharma,4649600,4606400
2024-Q4,LC,Instruments,China,Industrial,1950400,1935000
2024-Q4,LC,Instruments,China,Academic & Government,1873600,2099500
2024-Q4,LC,Instruments,India,Pharma,2685100,2642200
2024-Q4,LC,Instruments,India,Industrial,1126400,1109900
2024-Q4,LC,Instruments,India,Academic & Government,1082000,1204300
2024-Q4,LC,Instruments,Other,Pharma,6149000,5739900
2024-Q4,LC,Instruments,Other,Industrial,2579400,2411200
2024-Q4,LC,Instruments,Other,Academic & Government,2477700,2616200
2024-Q4,LC,Chemistry,US,Pharma,7592900,7748000
2024-Q4,LC,Chemistry,US,Industrial,2814100,3001700
2024-Q4,LC,Chemistry,US,Academic & Government,3089100,3205200
2024-Q4,LC,Chemistry,China,Pharma,3870300,3623500
2024-Q4,LC,Chemistry,China,Industrial,1434400,1403800
2024-Q4,LC,Chemistry,China,Academic & Government,1574600,1499000
2024-Q4,LC,Chemistry,India,Pharma,2077100,2166900
2024-Q4,LC,Chemistry,India,Industrial,769800,839500
2024-Q4,LC,Chemistry,India,Academic & Government,845100,896400
2024-Q4,LC,Chemistry,Other,Pharma,4964100,4807600
2024-Q4,LC,Chemistry,Other,Industrial,1839800,1862500
2024-Q4,LC,Chemistry,Other,Academic & Government,2019600,1988800
2024-Q4,LC,Service,US,Pharma,4440400,4291900
2024-Q4,LC,Service,US,Industrial,1756500,1706700
2024-Q4,LC,Service,US,Academic & Government,1738400,1859000
2024-Q4,LC,Service,China,Pharma,2153700,2111900
2024-Q4,LC,Service,China,Industrial,851900,839800
2024-Q4,LC,Service,China,Academic & Government,843200,914700
2024-Q4,LC,Service,India,Pharma,1368500,1247200
2024-Q4,LC,Service,India,Industrial,541300,496000
2024-Q4,LC,Service,India,Academic & Government,535800,540200
2024-Q4,LC,Service,Other,Pharma,2876900,2652200
2024-Q4,LC,Service,Other,Industrial,1138100,1054700
2024-Q4,LC,Service,Other,Academic & Government,1126400,1148800
2024-Q4,Mass Spec,Instruments,US,Pharma,8220500,7624300
2024-Q4,Mass Spec,Instruments,US,Industrial,3076100,3044500
2024-Q4,Mass Spec,Instruments,US,Academic & Government,3366500,3136100
2024-Q4,Mass Spec,Instruments,China,Pharma,4075400,3920700
2024-Q4,Mass Spec,Instruments,China,Industrial,1525000,1565600
2024-Q4,Mass Spec,Instruments,China,Academic & Government,1669000,1612700
2024-Q4,Mass Spec,Instruments,India,Pharma,2273000,2379100
2024-Q4,Mass Spec,Instruments,India,Industrial,850500,950000
2024-Q4,Mass Spec,Instruments,India,Academic & Government,930800,978600
2024-Q4,Mass Spec,Instruments,Other,Pharma,5132600,5039900
2024-Q4,Mass Spec,Instruments,Other,Industrial,1920600,2012500
2024-Q4,Mass Spec,Instruments,Other,Academic & Government,2101900,2073000
2024-Q4,Mass Spec,Chemistry,US,Pharma,4553100,4415200
2024-Q4,Mass Spec,Chemistry,US,Industrial,1843900,1864800
2024-Q4,Mass Spec,Chemistry,US,Academic & Government,1994100,1880500
2024-Q4,Mass Spec,Chemistry,China,Pharma,2051900,2089100
2024-Q4,Mass Spec,Chemistry,China,Industrial,831000,882300
2024-Q4,Mass Spec,Chemistry,China,Academic & Government,898700,889800
2024-Q4,Mass Spec,Chemistry,India,Pharma,1259300,1304600
2024-Q4,Mass Spec,Chemistry,India,Industrial,510000,551000
2024-Q4,Mass Spec,Chemistry,India,Academic & Government,551500,555700
2024-Q4,Mass Spec,Chemistry,Other,Pharma,2534700,2771800
2024-Q4,Mass Spec,Chemistry,Other,Industrial,1026500,1170700
2024-Q4,Mass Spec,Chemistry,Other,Academic & Government,1110100,1180600
2024-Q4,Mass Spec,Service,US,Pharma,3479300,3606100
2024-Q4,Mass Spec,Service,US,Industrial,1447200,1345300
2024-Q4,Mass Spec,Service,US,Academic & Government,1501800,1430200
2024-Q4,Mass Spec,Service,China,Pharma,1805700,1817500
