week,week_start,product,status,plan_revenue,actual_revenue,cum_plan_revenue,cum_actual_revenue
1,2026-07-01,LC,actual,6659600,6243400,6659600,6243400
2,2026-07-08,LC,actual,6659600,6308800,13319200,12552100
3,2026-07-15,LC,actual,6659600,6600200,19978800,19152300
4,2026-07-22,LC,actual,6659600,6376100,26638400,25528500
5,2026-07-29,LC,actual,6659600,6037800,33298000,31566300
6,2026-08-05,LC,actual,6659600,6211900,39957700,37778200
7,2026-08-12,LC,actual,9010100,8370500,48967700,46148800
8,2026-08-19,LC,actual,9010100,9627700,57977800,55776500
9,2026-08-26,LC,forecast,9010100,,66987800,
10,2026-09-02,LC,forecast,9010100,,75997900,
11,2026-09-09,LC,forecast,9010100,,85008000,
12,2026-09-16,LC,forecast,9010100,,94018000,
13,2026-09-23,LC,forecast,9010100,,103028100,
1,2026-07-01,Mass Spec,actual,5044700,5157500,5044700,5157500
2,2026-07-08,Mass Spec,actual,5044700,5353400,10089500,10510800
3,2026-07-15,Mass Spec,actual,5044700,4693500,15134200,15204300
4,2026-07-22,Mass Spec,actual,5044700,5253000,20179000,20457300
5,2026-07-29,Mass Spec,actual,5044700,4136700,25223700,24594000
6,2026-08-05,Mass Spec,actual,5044700,4136700,30268500,28730700
7,2026-08-12,Mass Spec,actual,6825200,6924500,37093700,35655100
8,2026-08-19,Mass Spec,actual,6825200,6584700,43919000,42239900
9,2026-08-26,Mass Spec,forecast,6825200,,50744200,
10,2026-09-02,Mass Spec,forecast,6825200,,57569500,
11,2026-09-09,Mass Spec,forecast,6825200,,64394700,
12,2026-09-16,Mass Spec,forecast,6825200,,71219900,
13,2026-09-23,Mass Spec,forecast,6825200,,78045200,
1,2026-07-01,Chemicals,actual,2045400,2162300,2045400,2162300
2,2026-07-08,Chemicals,actual,2045400,2045300,4090800,4207600
3,2026-07-15,Chemicals,actual,2045400,2054400,6136300,6262000
4,2026-07-22,Chemicals,actual,2045400,2165800,8181700,8427800
5,2026-07-29,Chemicals,actual,2045400,1879400,10227100,10307200
6,2026-08-05,Chemicals,actual,2045400,2206500,12272500,12513700
7,2026-08-12,Chemicals,actual,2767300,2804300,15039900,15318000
8,2026-08-19,Chemicals,actual,2767300,2687000,17807200,18005000
9,2026-08-26,Chemicals,forecast,2767300,,20574500,
10,2026-09-02,Chemicals,forecast,2767300,,23341900,
11,2026-09-09,Chemicals,forecast,2767300,,26109200,
12,2026-09-16,Chemicals,forecast,2767300,,28876500,
13,2026-09-23,Chemicals,forecast,2767300,,31643900,
1,2026-07-01,Informatics,actual,1399000,1460000,1399000,1460000
2,2026-07-08,Informatics,actual,1399000,1325800,2798000,2785700
3,2026-07-15,Informatics,actual,1399000,1508500,4197000,4294200
4,2026-07-22,Informatics,actual,1399000,1404500,5596000,5698700
5,2026-07-29,Informatics,actual,1399000,1349800,6995000,7048500
6,2026-08-05,Informatics,actual,1399000,1451600,8394000,8500200
7,2026-08-12,Informatics,actual,1892800,1854200,10286700,10354300
8,2026-08-19,Informatics,actual,1892800,1763700,12179500,12118000
9,2026-08-26,Informatics,forecast,1892800,,14072200,
10,2026-09-02,Informatics,forecast,1892800,,15965000,
11,2026-09-09,Informatics,forecast,1892800,,17857700,
12,2026-09-16,Informatics,forecast,1892800,,19750500,
13,2026-09-23,Informatics,forecast,1892800,,21643200,
